"Date","Price","Open","High","Low","Change %"
"06/25/2019","0.700","0.700","0.700","0.700","0.00%"
"06/24/2019","0.700","0.700","0.700","0.700","0.00%"
"06/21/2019","0.700","0.700","0.700","0.700","0.00%"
"06/20/2019","0.700","0.700","0.700","0.700","0.00%"
"06/19/2019","0.700","0.700","0.700","0.700","-6.67%"
"06/18/2019","0.750","0.750","0.750","0.750","0.00%"
"06/17/2019","0.750","0.750","0.750","0.750","0.00%"
"06/14/2019","0.750","0.750","0.750","0.750","0.00%"
"06/13/2019","0.750","0.750","0.750","0.750","0.00%"
"06/12/2019","0.750","0.750","0.750","0.750","0.00%"
"06/11/2019","0.750","0.750","0.750","0.750","0.00%"
"06/10/2019","0.750","0.750","0.750","0.750","0.00%"
"06/07/2019","0.750","0.750","0.750","0.750","0.00%"
"06/06/2019","0.750","0.750","0.750","0.750","-6.25%"
"06/05/2019","0.800","0.800","0.800","0.800","0.00%"
"06/04/2019","0.800","0.800","0.800","0.800","0.00%"
"06/03/2019","0.800","0.800","0.800","0.800","-5.88%"
"05/31/2019","0.850","0.850","0.850","0.850","0.00%"
"05/30/2019","0.850","0.850","0.850","0.850","0.00%"
"05/29/2019","0.850","0.850","0.850","0.850","0.00%"
"05/28/2019","0.850","0.850","0.850","0.850","0.00%"
"05/27/2019","0.850","0.850","0.850","0.850","0.00%"
"05/24/2019","0.850","0.850","0.850","0.850","-10.53%"
"05/23/2019","0.950","0.950","0.950","0.950","0.00%"
"05/22/2019","0.950","0.950","0.950","0.950","0.00%"
"05/21/2019","0.950","0.950","0.950","0.950","0.00%"
"05/20/2019","0.950","0.950","0.950","0.950","0.00%"
"05/17/2019","0.950","0.950","0.950","0.950","0.00%"
"05/16/2019","0.950","0.950","0.950","0.950","-5.00%"
"05/15/2019","1.000","1.000","1.000","1.000","0.00%"
"05/14/2019","1.000","1.000","1.000","1.000","0.00%"
"05/13/2019","1.000","1.000","1.000","1.000","0.00%"
"05/10/2019","1.000","1.000","1.000","1.000","0.00%"
"05/09/2019","1.000","1.000","1.000","1.000","0.00%"
"05/08/2019","1.000","1.000","1.000","1.000","0.00%"
"05/07/2019","1.000","1.000","1.000","1.000","0.00%"
"05/06/2019","1.000","1.000","1.000","1.000","0.00%"
"05/03/2019","1.000","1.000","1.000","1.000","0.00%"
"05/02/2019","1.000","1.000","1.000","1.000","0.00%"
"04/30/2019","1.000","1.000","1.000","1.000","0.00%"
"04/29/2019","1.000","1.000","1.000","1.000","0.00%"
"04/26/2019","1.000","1.000","1.000","1.000","0.00%"
"04/25/2019","1.000","1.000","1.000","1.000","0.00%"
"04/24/2019","1.000","1.000","1.000","1.000","0.00%"
"04/23/2019","1.000","1.000","1.000","1.000","0.00%"
"04/18/2019","1.000","1.000","1.000","1.000","0.00%"
"04/17/2019","1.000","1.000","1.000","1.000","0.00%"
"04/16/2019","1.000","1.000","1.000","1.000","0.00%"
"04/15/2019","1.000","1.000","1.000","1.000","0.00%"
"04/12/2019","1.000","1.000","1.000","1.000","0.00%"
"04/11/2019","1.000","1.000","1.000","1.000","0.00%"
"04/10/2019","1.000","1.000","1.000","1.000","0.00%"
"04/09/2019","1.000","1.000","1.000","1.000","0.00%"
"04/08/2019","1.000","1.000","1.000","1.000","0.00%"
"04/05/2019","1.000","1.000","1.000","1.000","0.00%"
"04/04/2019","1.000","1.000","1.000","1.000","0.00%"
"04/03/2019","1.000","1.000","1.000","1.000","0.00%"
"04/02/2019","1.000","1.000","1.000","1.000","0.00%"
"04/01/2019","1.000","1.000","1.000","1.000","0.00%"
"03/29/2019","1.000","1.000","1.000","1.000","-4.76%"
"03/28/2019","1.050","1.050","1.050","1.050","0.00%"
"03/27/2019","1.050","1.050","1.050","1.050","0.00%"
"03/26/2019","1.050","1.050","1.050","1.050","0.00%"
"03/25/2019","1.050","1.050","1.050","1.050","0.00%"
"03/22/2019","1.050","1.050","1.050","1.050","-4.55%"
"03/21/2019","1.100","1.100","1.100","1.100","0.00%"
"03/20/2019","1.100","1.100","1.100","1.100","0.00%"
"03/19/2019","1.100","1.100","1.100","1.100","0.00%"
"03/18/2019","1.100","1.100","1.100","1.100","0.00%"
"03/15/2019","1.100","1.100","1.100","1.100","0.00%"
"03/14/2019","1.100","1.100","1.100","1.100","0.00%"
"03/13/2019","1.100","1.100","1.100","1.100","0.00%"
"03/12/2019","1.100","1.100","1.100","1.100","-4.35%"
"03/11/2019","1.150","1.150","1.150","1.150","0.00%"
"03/08/2019","1.150","1.150","1.150","1.150","0.00%"
"03/07/2019","1.150","1.150","1.150","1.150","0.00%"
"03/06/2019","1.150","1.150","1.150","1.150","0.00%"
"03/05/2019","1.150","1.150","1.150","1.150","0.00%"
"03/04/2019","1.150","1.150","1.150","1.150","0.00%"
"03/01/2019","1.150","1.150","1.150","1.150","0.00%"
"02/28/2019","1.150","1.150","1.150","1.150","0.00%"
"02/27/2019","1.150","1.150","1.150","1.150","0.00%"
"02/26/2019","1.150","1.150","1.150","1.150","0.00%"
"02/25/2019","1.150","1.150","1.150","1.150","0.00%"
"02/22/2019","1.150","1.150","1.150","1.150","0.00%"
"02/21/2019","1.150","1.150","1.150","1.150","0.00%"
"02/20/2019","1.150","1.150","1.150","1.150","0.00%"
"02/19/2019","1.150","1.150","1.150","1.150","0.00%"
"02/18/2019","1.150","1.150","1.150","1.150","0.00%"
"02/15/2019","1.150","1.150","1.150","1.150","0.00%"
"02/14/2019","1.150","1.150","1.150","1.150","0.00%"
"02/13/2019","1.150","1.150","1.150","1.150","0.00%"
"02/12/2019","1.150","1.150","1.150","1.150","0.00%"
"02/11/2019","1.150","1.150","1.150","1.150","-4.17%"
"02/08/2019","1.200","1.200","1.200","1.200","-4.00%"
"02/07/2019","1.250","1.250","1.250","1.250","0.00%"
"02/06/2019","1.250","1.250","1.250","1.250","0.00%"
"02/05/2019","1.250","1.250","1.250","1.250","0.00%"
"02/04/2019","1.250","1.250","1.250","1.250","0.00%"
"02/01/2019","1.250","1.250","1.250","1.250","0.00%"
"01/31/2019","1.250","1.250","1.250","1.250","0.00%"
"01/30/2019","1.250","1.250","1.250","1.250","0.00%"
"01/29/2019","1.250","1.250","1.250","1.250","0.00%"
"01/28/2019","1.250","1.250","1.250","1.250","0.00%"
"01/25/2019","1.250","1.250","1.250","1.250","0.00%"
"01/24/2019","1.250","1.250","1.250","1.250","0.00%"
"01/23/2019","1.250","1.250","1.250","1.250","0.00%"
"01/22/2019","1.250","1.250","1.250","1.250","0.00%"
"01/21/2019","1.250","1.250","1.250","1.250","0.00%"
"01/18/2019","1.250","1.250","1.250","1.250","0.00%"
"01/17/2019","1.250","1.250","1.250","1.250","0.00%"
"01/16/2019","1.250","1.250","1.250","1.250","0.00%"
"01/15/2019","1.250","1.250","1.250","1.250","0.00%"
"01/14/2019","1.250","1.250","1.250","1.250","0.00%"
"01/11/2019","1.250","1.250","1.250","1.250","0.00%"
"01/10/2019","1.250","1.250","1.250","1.250","0.00%"
"01/09/2019","1.250","1.250","1.250","1.250","0.00%"
"01/08/2019","1.250","1.250","1.250","1.250","0.00%"
"01/07/2019","1.250","1.250","1.250","1.250","0.00%"
"01/04/2019","1.250","1.250","1.250","1.250","8.70%"
"01/03/2019","1.150","1.150","1.150","1.150","0.00%"
"01/02/2019","1.150","1.150","1.150","1.150","0.00%"
"12/31/2018","1.150","1.150","1.150","1.150","0.00%"
"12/28/2018","1.150","1.150","1.150","1.150","0.00%"
"12/27/2018","1.150","1.150","1.150","1.150","0.00%"
"12/24/2018","1.150","1.150","1.150","1.150","0.00%"
"12/21/2018","1.150","1.150","1.150","1.150","0.00%"
"12/20/2018","1.150","1.150","1.150","1.150","-4.17%"
"12/19/2018","1.200","1.200","1.200","1.200","0.00%"
"12/18/2018","1.200","1.200","1.200","1.200","0.00%"
"12/17/2018","1.200","1.200","1.200","1.200","0.00%"
"12/14/2018","1.200","1.200","1.200","1.200","0.00%"
"12/13/2018","1.200","1.200","1.200","1.200","0.00%"
"12/12/2018","1.200","1.200","1.200","1.200","0.00%"
"12/11/2018","1.200","1.200","1.200","1.200","0.00%"
"12/10/2018","1.200","1.200","1.200","1.200","0.00%"
"12/07/2018","1.200","1.200","1.200","1.200","0.00%"
"12/06/2018","1.200","1.200","1.200","1.200","0.00%"
"12/05/2018","1.200","1.200","1.200","1.200","0.00%"
"12/04/2018","1.200","1.200","1.200","1.200","0.00%"
"12/03/2018","1.200","1.200","1.200","1.200","0.00%"
"11/30/2018","1.200","1.200","1.200","1.200","0.00%"
"11/29/2018","1.200","1.200","1.200","1.200","0.00%"
"11/28/2018","1.200","1.200","1.200","1.200","0.00%"
"11/27/2018","1.200","1.200","1.200","1.200","0.00%"
"11/26/2018","1.200","1.200","1.200","1.200","0.00%"
"11/23/2018","1.200","1.200","1.200","1.200","0.00%"
"11/22/2018","1.200","1.200","1.200","1.200","0.00%"
"11/21/2018","1.200","1.200","1.200","1.200","0.00%"
"11/20/2018","1.200","1.200","1.200","1.200","0.00%"
"11/19/2018","1.200","1.200","1.200","1.200","0.00%"
"11/16/2018","1.200","1.200","1.200","1.200","0.00%"
"11/15/2018","1.200","1.200","1.200","1.200","0.00%"
"11/14/2018","1.200","1.200","1.200","1.200","0.00%"
"11/13/2018","1.200","1.200","1.200","1.200","0.00%"
"11/12/2018","1.200","1.200","1.200","1.200","0.00%"
"11/09/2018","1.200","1.200","1.200","1.200","0.00%"
"11/08/2018","1.200","1.200","1.200","1.200","0.00%"
"11/07/2018","1.200","1.200","1.200","1.200","0.00%"
"11/06/2018","1.200","1.200","1.200","1.200","0.00%"
"11/05/2018","1.200","1.200","1.200","1.200","0.00%"
"11/02/2018","1.200","1.200","1.200","1.200","0.00%"
"11/01/2018","1.200","1.200","1.200","1.200","0.00%"
"10/31/2018","1.200","1.200","1.200","1.200","0.00%"
"10/30/2018","1.200","1.200","1.200","1.200","0.00%"
"10/29/2018","1.200","1.200","1.200","1.200","0.00%"
"10/26/2018","1.200","1.200","1.200","1.200","0.00%"
"10/25/2018","1.200","1.200","1.200","1.200","0.00%"
"10/24/2018","1.200","1.200","1.200","1.200","0.00%"
"10/23/2018","1.200","1.200","1.200","1.200","0.00%"
"10/22/2018","1.200","1.200","1.200","1.200","0.00%"
"10/19/2018","1.200","1.200","1.200","1.200","0.00%"
"10/18/2018","1.200","1.200","1.200","1.200","0.00%"
"10/17/2018","1.200","1.200","1.200","1.200","0.00%"
"10/16/2018","1.200","1.200","1.200","1.200","0.00%"
"10/15/2018","1.200","1.200","1.200","1.200","0.00%"
"10/12/2018","1.200","1.200","1.200","1.200","0.00%"
"10/11/2018","1.200","1.200","1.200","1.200","0.00%"
"10/10/2018","1.200","1.200","1.200","1.200","0.00%"
"10/09/2018","1.200","1.200","1.200","1.200","0.00%"
