"Date","Price","Open","High","Low","Change %"
"09/06/2017","0.77","0.75","0.79","0.71","6.94%"
"09/05/2017","0.72","0.75","0.83","0.72","-11.11%"
"09/04/2017","0.81","0.75","0.83","0.74","3.85%"
"08/31/2017","0.78","0.76","0.82","0.74","-1.27%"
"08/30/2017","0.79","0.76","0.83","0.75","1.28%"
"08/28/2017","0.78","0.78","0.87","0.76","0.00%"
"08/25/2017","0.78","0.78","0.86","0.76","2.63%"
"08/24/2017","0.76","0.79","0.84","0.74","-3.80%"
"08/23/2017","0.79","0.77","0.83","0.75","1.28%"
"08/22/2017","0.78","0.81","0.83","0.78","-2.50%"
"08/21/2017","0.80","0.81","0.82","0.79","-1.23%"
"08/18/2017","0.81","0.81","0.86","0.77","-2.41%"
"08/17/2017","0.83","0.83","0.90","0.80","-2.35%"
"08/16/2017","0.85","0.85","0.91","0.80","3.66%"
"08/15/2017","0.82","0.84","0.92","0.81","1.23%"
"08/14/2017","0.81","0.82","0.90","0.80","1.25%"
"08/11/2017","0.80","0.78","0.82","0.76","1.27%"
"08/10/2017","0.79","0.79","0.89","0.78","-2.47%"
"08/09/2017","0.81","0.84","0.90","0.79","1.25%"
"08/08/2017","0.80","0.86","0.89","0.80","-6.98%"
"08/07/2017","0.86","0.84","0.93","0.82","1.18%"
"08/04/2017","0.85","0.85","0.94","0.82","3.66%"
"08/03/2017","0.82","0.86","0.88","0.82","-4.65%"
"08/02/2017","0.86","0.85","0.95","0.85","1.18%"
"08/01/2017","0.85","0.91","0.94","0.85","-5.56%"
"07/31/2017","0.90","0.90","1.01","0.90","1.12%"
"07/28/2017","0.89","0.88","0.96","0.86","1.14%"
"07/27/2017","0.88","0.86","0.92","0.86","-5.38%"
"07/26/2017","0.93","0.89","0.99","0.88","-2.11%"
"07/25/2017","0.95","0.85","0.95","0.83","5.56%"
"07/24/2017","0.90","0.92","0.95","0.83","-1.10%"
"07/21/2017","0.91","0.88","0.92","0.84","-3.19%"
"07/20/2017","0.94","0.96","1.04","0.90","-3.09%"
"07/19/2017","0.97","0.99","1.04","0.97","-2.02%"
"07/18/2017","0.99","1.02","1.04","0.94","-1.98%"
"07/17/2017","1.01","1.02","1.06","0.98","-0.98%"
"07/14/2017","1.02","1.00","1.06","0.98","0.00%"
"07/13/2017","1.02","1.00","1.06","0.97","2.00%"
"07/12/2017","1.00","1.02","1.09","0.99","-3.85%"
"07/11/2017","1.04","1.05","1.10","1.02","0.97%"
"07/10/2017","1.03","1.10","1.10","1.03","-4.63%"
"07/07/2017","1.08","1.06","1.14","1.03","1.89%"
"07/06/2017","1.06","1.02","1.14","0.98","0.00%"
"07/04/2017","1.06","1.05","1.09","0.99","0.95%"
"07/03/2017","1.05","1.05","1.08","1.00","0.96%"
"06/30/2017","1.04","1.04","1.09","1.00","1.96%"
"06/29/2017","1.02","1.00","1.07","0.98","8.51%"
"06/28/2017","0.94","0.98","1.03","0.94","0.00%"
"06/27/2017","0.94","0.90","0.99","0.87","8.05%"
"06/26/2017","0.87","0.89","0.92","0.86","-2.25%"
"06/23/2017","0.89","0.88","0.92","0.86","1.14%"
"06/22/2017","0.88","0.86","0.92","0.85","-3.30%"
"06/21/2017","0.91","0.86","0.94","0.86","3.41%"
"06/20/2017","0.88","0.93","0.94","0.87","-5.38%"
"06/19/2017","0.93","0.95","0.95","0.89","4.49%"
"06/16/2017","0.89","0.93","0.96","0.88","-2.20%"
"06/15/2017","0.91","0.90","0.94","0.87","4.60%"
"06/14/2017","0.87","0.92","0.94","0.86","-4.40%"
"06/13/2017","0.91","0.92","0.95","0.88","1.11%"
"06/12/2017","0.90","0.92","0.94","0.88","-2.17%"
"06/09/2017","0.92","0.92","0.93","0.88","-1.08%"
"06/08/2017","0.93","0.93","0.95","0.88","1.09%"
"06/07/2017","0.92","0.93","0.96","0.88","-1.08%"
"06/06/2017","0.93","0.95","0.95","0.90","-2.11%"
"06/05/2017","0.95","0.96","0.97","0.91","4.40%"
"06/02/2017","0.91","0.95","0.96","0.91","-1.09%"
"06/01/2017","0.92","0.96","0.99","0.92","0.00%"
"05/31/2017","0.92","0.93","0.97","0.91","-3.16%"
"05/30/2017","0.95","0.98","0.99","0.92","-3.06%"
"05/29/2017","0.98","1.02","1.03","0.94","2.08%"
"05/26/2017","0.96","1.05","1.05","0.96","-3.03%"
"05/25/2017","0.99","1.01","1.08","0.98","-4.81%"
"05/24/2017","1.04","1.09","1.09","1.00","-4.59%"
"05/23/2017","1.09","1.07","1.10","1.01","0.00%"
"05/22/2017","1.09","1.06","1.10","1.01","2.83%"
"05/19/2017","1.06","1.05","1.07","1.02","3.92%"
"05/18/2017","1.02","1.03","1.07","1.00","-4.67%"
"05/17/2017","1.07","1.08","1.10","1.04","-2.73%"
"05/16/2017","1.10","1.08","1.12","1.07","0.00%"
"05/15/2017","1.10","1.07","1.12","1.05","3.77%"
"05/12/2017","1.06","1.08","1.15","1.05","-2.75%"
"05/11/2017","1.09","1.09","1.15","1.08","1.87%"
"05/10/2017","1.07","1.11","1.15","1.06","-2.73%"
"05/09/2017","1.10","1.11","1.16","1.09","0.00%"
"05/05/2017","1.10","1.12","1.16","1.07","-1.79%"
"05/04/2017","1.12","1.10","1.15","1.08","2.75%"
"05/03/2017","1.09","1.08","1.11","1.06","0.93%"
"05/02/2017","1.08","1.10","1.12","1.07","-0.92%"
"04/28/2017","1.09","1.11","1.13","1.06","0.00%"
"04/27/2017","1.09","1.12","1.15","1.06","-4.39%"
"04/26/2017","1.14","1.16","1.16","1.09","-0.87%"
"04/25/2017","1.15","1.14","1.16","1.09","1.77%"
"04/24/2017","1.13","1.15","1.18","1.10","2.73%"
"04/21/2017","1.10","1.08","1.14","1.06","2.80%"
"04/20/2017","1.07","1.05","1.12","1.02","3.88%"
"04/19/2017","1.03","1.08","1.09","1.03","-0.96%"
"04/18/2017","1.04","1.07","1.09","1.02","0.97%"
"04/17/2017","1.03","1.07","1.07","1.02","0.00%"
"04/14/2017","1.03","1.07","1.07","1.02","0.00%"
"04/13/2017","1.03","1.07","1.07","1.02","-4.63%"
"04/12/2017","1.08","1.05","1.10","1.03","2.86%"
"04/11/2017","1.05","1.07","1.10","1.02","-0.94%"
"04/10/2017","1.06","1.07","1.10","1.05","0.00%"
"04/07/2017","1.06","1.08","1.11","1.05","-2.75%"
"04/06/2017","1.09","1.08","1.13","1.06","0.00%"
"04/05/2017","1.09","1.08","1.12","1.06","0.00%"
"04/04/2017","1.09","1.07","1.13","1.07","0.00%"
"04/03/2017","1.09","1.13","1.15","1.09","-3.54%"
"03/31/2017","1.13","1.12","1.16","1.11","-0.88%"
"03/30/2017","1.14","1.12","1.16","1.11","0.88%"
"03/29/2017","1.13","1.16","1.20","1.12","-4.24%"
"03/28/2017","1.18","1.16","1.20","1.15","1.72%"
"03/27/2017","1.16","1.19","1.22","1.14","-4.13%"
"03/24/2017","1.21","1.23","1.23","1.18","1.68%"
"03/23/2017","1.19","1.19","1.22","1.17","0.85%"
"03/22/2017","1.18","1.22","1.22","1.18","-3.28%"
"03/21/2017","1.22","1.25","1.26","1.20","0.83%"
"03/20/2017","1.21","1.19","1.25","1.19","0.83%"
"03/17/2017","1.20","1.21","1.23","1.19","-0.83%"
"03/16/2017","1.21","1.19","1.24","1.19","1.68%"
"03/15/2017","1.19","1.21","1.24","1.19","-1.65%"
"03/14/2017","1.21","1.24","1.28","1.21","-1.63%"
"03/13/2017","1.23","1.21","1.25","1.21","-1.60%"
"03/10/2017","1.25","1.21","1.25","1.20","3.31%"
