date,country,country_code,inflation_hicp
2017-07-01,Lithuania,LT,4.1
2017-08-01,Lithuania,LT,4.6
2017-09-01,Lithuania,LT,4.6
2017-10-01,Lithuania,LT,4.2
2017-11-01,Lithuania,LT,4.2
2017-12-01,Lithuania,LT,3.8
2018-01-01,Lithuania,LT,3.6
2018-02-01,Lithuania,LT,3.2
2018-03-01,Lithuania,LT,2.5
2018-04-01,Lithuania,LT,2.2
2018-05-01,Lithuania,LT,2.9
2018-06-01,Lithuania,LT,2.6
2018-07-01,Lithuania,LT,2.3
2018-08-01,Lithuania,LT,1.8
2018-09-01,Lithuania,LT,2.4
2018-10-01,Lithuania,LT,2.8
2018-11-01,Lithuania,LT,2.4
2018-12-01,Lithuania,LT,1.8
2019-01-01,Lithuania,LT,1.6
2019-02-01,Lithuania,LT,2.0
2019-03-01,Lithuania,LT,2.6
2019-04-01,Lithuania,LT,2.7
2019-05-01,Lithuania,LT,2.5
2019-06-01,Lithuania,LT,2.4
2019-07-01,Lithuania,LT,2.5
2019-08-01,Lithuania,LT,2.5
2019-09-01,Lithuania,LT,2.0
2019-10-01,Lithuania,LT,1.5
2019-11-01,Lithuania,LT,1.7
2019-12-01,Lithuania,LT,2.7
2020-01-01,Lithuania,LT,3.0
2020-02-01,Lithuania,LT,2.8
2020-03-01,Lithuania,LT,1.7
2020-04-01,Lithuania,LT,0.9
2020-05-01,Lithuania,LT,0.2
2020-06-01,Lithuania,LT,0.9
2020-07-01,Lithuania,LT,0.9
2020-08-01,Lithuania,LT,1.2
2020-09-01,Lithuania,LT,0.6
2020-10-01,Lithuania,LT,0.5
2020-11-01,Lithuania,LT,0.4
2020-12-01,Lithuania,LT,-0.1
2021-01-01,Lithuania,LT,0.2
2021-02-01,Lithuania,LT,0.4
2021-03-01,Lithuania,LT,1.6
2021-04-01,Lithuania,LT,2.4
2021-05-01,Lithuania,LT,3.5
2021-06-01,Lithuania,LT,3.5
2021-07-01,Lithuania,LT,4.3
2021-08-01,Lithuania,LT,5.0
2021-09-01,Lithuania,LT,6.4
2021-10-01,Lithuania,LT,8.2
2021-11-01,Lithuania,LT,9.3
2021-12-01,Lithuania,LT,10.7
2022-01-01,Lithuania,LT,12.3
2022-02-01,Lithuania,LT,14.0
2022-03-01,Lithuania,LT,15.6
2022-04-01,Lithuania,LT,16.6
2022-05-01,Lithuania,LT,18.5
2022-06-01,Lithuania,LT,20.5
2022-07-01,Lithuania,LT,20.9
2022-08-01,Lithuania,LT,21.1
2022-09-01,Lithuania,LT,22.5
2022-10-01,Lithuania,LT,22.1
2022-11-01,Lithuania,LT,21.4
2022-12-01,Lithuania,LT,20.0
2023-01-01,Lithuania,LT,18.5
2023-02-01,Lithuania,LT,17.2
2023-03-01,Lithuania,LT,15.2
2023-04-01,Lithuania,LT,13.3
2023-05-01,Lithuania,LT,10.7
2023-06-01,Lithuania,LT,8.2
2023-07-01,Lithuania,LT,7.2
2023-08-01,Lithuania,LT,6.4
2023-09-01,Lithuania,LT,4.1
2023-10-01,Lithuania,LT,3.1
2023-11-01,Lithuania,LT,2.3
2023-12-01,Lithuania,LT,1.6
2024-01-01,Lithuania,LT,1.1
2024-02-01,Lithuania,LT,1.1
2024-03-01,Lithuania,LT,0.4
2024-04-01,Lithuania,LT,0.4
2024-05-01,Lithuania,LT,0.9
2024-06-01,Lithuania,LT,1.0
2024-07-01,Lithuania,LT,1.1
2024-08-01,Lithuania,LT,0.8
2024-09-01,Lithuania,LT,0.4
2024-10-01,Lithuania,LT,0.1
2024-11-01,Lithuania,LT,1.1
2024-12-01,Lithuania,LT,1.9
2025-01-01,Lithuania,LT,3.4
2025-02-01,Lithuania,LT,3.2
2025-03-01,Lithuania,LT,3.7
2025-04-01,Lithuania,LT,3.6
2025-05-01,Lithuania,LT,3.0
2025-06-01,Lithuania,LT,3.2
2025-07-01,Lithuania,LT,3.4
2025-08-01,Lithuania,LT,3.6
2025-09-01,Lithuania,LT,3.7
2025-10-01,Lithuania,LT,3.7
2025-11-01,Lithuania,LT,3.6
2025-12-01,Lithuania,LT,3.2
2015-01-01,Slovakia,SK,-0.5
2015-02-01,Slovakia,SK,-0.6
2015-03-01,Slovakia,SK,-0.4
2015-04-01,Slovakia,SK,-0.1
2015-05-01,Slovakia,SK,-0.1
2015-06-01,Slovakia,SK,-0.1
2015-07-01,Slovakia,SK,-0.2
2015-08-01,Slovakia,SK,-0.2
2015-09-01,Slovakia,SK,-0.5
2015-10-01,Slovakia,SK,-0.5
2015-11-01,Slovakia,SK,-0.4
2015-12-01,Slovakia,SK,-0.5
2016-01-01,Slovakia,SK,-0.6
2016-02-01,Slovakia,SK,-0.3
2016-03-01,Slovakia,SK,-0.5
2016-04-01,Slovakia,SK,-0.4
