date,country,country_code,gdp_growth_quarterly
2023-04-01,Slovakia,SK,0.9
2023-07-01,Slovakia,SK,0.8
2023-10-01,Slovakia,SK,0.5
2024-01-01,Slovakia,SK,0.6
2024-04-01,Slovakia,SK,0.3
2024-07-01,Slovakia,SK,0.1
2024-10-01,Slovakia,SK,0.3
2025-01-01,Slovakia,SK,0.1
2025-04-01,Slovakia,SK,0.2
2025-07-01,Slovakia,SK,0.3
2025-10-01,Slovakia,SK,0.3
2015-01-01,Slovenia,SI,0.5
2015-04-01,Slovenia,SI,0.9
2015-07-01,Slovenia,SI,0.6
2015-10-01,Slovenia,SI,0.2
2016-01-01,Slovenia,SI,1.3
2016-04-01,Slovenia,SI,0.9
2016-07-01,Slovenia,SI,0.9
2016-10-01,Slovenia,SI,0.7
2017-01-01,Slovenia,SI,2.1
2017-04-01,Slovenia,SI,1.3
2017-07-01,Slovenia,SI,0.8
2017-10-01,Slovenia,SI,2.0
2018-01-01,Slovenia,SI,0.3
2018-04-01,Slovenia,SI,1.5
2018-07-01,Slovenia,SI,1.2
2018-10-01,Slovenia,SI,0.7
2019-01-01,Slovenia,SI,1.4
2019-04-01,Slovenia,SI,-0.1
2019-07-01,Slovenia,SI,1.1
2019-10-01,Slovenia,SI,0.2
2020-01-01,Slovenia,SI,-2.4
2020-04-01,Slovenia,SI,-9.9
2020-07-01,Slovenia,SI,11.6
2020-10-01,Slovenia,SI,-2.2
2021-01-01,Slovenia,SI,4.4
2021-04-01,Slovenia,SI,1.2
2021-07-01,Slovenia,SI,2.7
2021-10-01,Slovenia,SI,1.2
2022-01-01,Slovenia,SI,-0.1
2022-04-01,Slovenia,SI,0.7
2022-07-01,Slovenia,SI,-0.3
2022-10-01,Slovenia,SI,0.6
2023-01-01,Slovenia,SI,0.8
2023-04-01,Slovenia,SI,1.4
2023-07-01,Slovenia,SI,-0.1
2023-10-01,Slovenia,SI,0.8
2024-01-01,Slovenia,SI,1.0
2024-04-01,Slovenia,SI,-0.6
2024-07-01,Slovenia,SI,0.1
2024-10-01,Slovenia,SI,0.6
2025-01-01,Slovenia,SI,-0.6
2025-04-01,Slovenia,SI,0.9
2025-07-01,Slovenia,SI,0.9
2025-10-01,Slovenia,SI,0.4
